,cost time,FPS,1,2,3,4,5,6,7,8,coordinate,len
1686.png,0.007790327072143555,128,person,,,,,,,,"[[871, 94, 999, 433]]",1
1687.png,0.006863594055175781,145,person,,,,,,,,"[[887, 85, 990, 441]]",1
1688.png,0.007597684860229492,131,person,,,,,,,,"[[888, 86, 992, 441]]",1
1689.png,0.007645130157470703,130,person,person,,,,,,,"[[787, 193, 892, 399], [880, 87, 1007, 432]]",2
1690.png,0.007982015609741211,125,person,person,,,,,,,"[[787, 193, 892, 400], [880, 87, 1007, 432]]",2
1691.png,0.007436275482177734,134,person,person,person,,,,,,"[[787, 202, 894, 402], [450, 249, 825, 718], [885, 79, 1006, 439]]",3
1692.png,0.007709026336669922,129,person,person,person,,,,,,"[[787, 202, 894, 402], [449, 250, 825, 717], [885, 79, 1006, 439]]",3
1693.png,0.008169889450073242,122,person,person,person,person,,,,,"[[418, 45, 656, 677], [783, 204, 890, 400], [862, 131, 994, 473], [206, 140, 290, 356]]",4
1694.png,0.00821232795715332,121,person,person,person,,,,,,"[[782, 201, 889, 399], [863, 132, 995, 468], [204, 145, 290, 352]]",3
1695.png,0.007595062255859375,131,person,person,,,,,,,"[[779, 203, 889, 396], [865, 133, 997, 468]]",2
1696.png,0.0075190067291259766,132,person,person,,,,,,,"[[779, 203, 889, 396], [865, 133, 997, 468]]",2
1697.png,0.007816553115844727,127,person,person,person,,,,,,"[[779, 204, 887, 399], [394, 163, 687, 676], [867, 130, 998, 469]]",3
1698.png,0.00785064697265625,127,person,person,person,,,,,,"[[779, 204, 887, 399], [394, 163, 687, 676], [867, 130, 998, 469]]",3
1699.png,0.007610321044921875,131,person,person,,,,,,,"[[780, 201, 888, 401], [867, 132, 999, 469]]",2
1700.png,0.007107973098754883,140,person,person,,,,,,,"[[785, 199, 889, 401], [869, 127, 998, 472]]",2
1701.png,0.007613182067871094,131,person,person,,,,,,,"[[784, 204, 888, 401], [868, 128, 999, 473]]",2
1702.png,0.007611751556396484,131,person,person,,,,,,,"[[782, 207, 886, 400], [867, 128, 999, 473]]",2
1703.png,0.00796198844909668,125,person,person,person,,,,,,"[[782, 207, 885, 399], [866, 129, 1002, 472], [885, 101, 996, 288]]",3
1704.png,0.008180618286132812,122,person,person,person,person,,,,,"[[782, 205, 884, 399], [382, 234, 695, 712], [866, 132, 1000, 470], [884, 102, 996, 289]]",4
1705.png,0.008159637451171875,122,person,person,person,person,,,,,"[[780, 206, 885, 397], [387, 224, 689, 719], [867, 133, 1000, 467], [884, 102, 996, 289]]",4
1706.png,0.007514238357543945,133,person,person,,,,,,,"[[781, 204, 883, 403], [870, 129, 997, 473]]",2
1707.png,0.007904767990112305,126,person,person,person,,,,,,"[[777, 205, 879, 403], [872, 132, 997, 471], [426, 150, 595, 579]]",3
1708.png,0.007596731185913086,131,person,person,,,,,,,"[[774, 208, 876, 400], [871, 132, 995, 470]]",2
1709.png,0.00787496566772461,126,person,person,person,,,,,,"[[774, 208, 877, 398], [255, 249, 642, 692], [869, 132, 997, 471]]",3
1710.png,0.007539272308349609,132,person,person,,,,,,,"[[779, 208, 883, 398], [866, 131, 997, 471]]",2
1711.png,0.008272409439086914,120,person,person,person,,,,,,"[[781, 206, 886, 399], [868, 130, 996, 471], [197, 146, 283, 353]]",3
1712.png,0.007510662078857422,133,person,person,,,,,,,"[[783, 206, 886, 397], [332, 40, 593, 688]]",2
1713.png,0.00806736946105957,123,person,person,person,,,,,,"[[349, 9, 584, 719], [784, 205, 886, 399], [868, 129, 998, 473]]",3
1714.png,0.008114337921142578,123,person,person,person,person,,,,,"[[325, 66, 595, 719], [782, 203, 884, 400], [362, 74, 510, 333], [869, 128, 998, 471]]",4
1715.png,0.008613824844360352,116,person,person,person,person,,,,,"[[305, 198, 614, 719], [781, 202, 886, 399], [349, 84, 509, 328], [869, 130, 996, 471]]",4
1716.png,0.008244752883911133,121,person,person,person,,,,,,"[[784, 200, 887, 399], [868, 130, 1000, 468], [203, 138, 291, 350]]",3
1717.png,0.007892370223999023,126,person,person,person,,,,,,"[[782, 200, 885, 398], [867, 131, 1003, 467], [202, 141, 290, 353]]",3
1718.png,0.008354902267456055,119,person,person,person,,,,,,"[[782, 200, 883, 398], [209, 140, 291, 348], [885, 79, 1013, 447]]",3
1719.png,0.00838613510131836,119,person,person,person,person,,,,,"[[782, 199, 884, 400], [211, 138, 295, 351], [302, 250, 435, 689], [867, 127, 1002, 470]]",4
1720.png,0.008951902389526367,111,person,person,person,person,person,person,,,"[[307, 249, 437, 699], [781, 200, 884, 402], [296, 100, 434, 401], [209, 131, 289, 357], [454, 230, 624, 701], [867, 128, 1001, 471]]",6
1721.png,0.008411169052124023,118,person,person,person,person,person,,,,"[[297, 258, 448, 690], [781, 199, 884, 403], [208, 135, 289, 351], [864, 127, 1001, 472], [289, 98, 432, 395]]",5
1722.png,0.007842540740966797,127,person,person,,,,,,,"[[782, 202, 884, 406], [863, 126, 998, 471]]",2
1723.png,0.0078582763671875,127,person,person,,,,,,,"[[782, 202, 884, 406], [863, 126, 998, 471]]",2
1724.png,0.007890939712524414,126,person,person,,,,,,,"[[782, 202, 884, 406], [863, 127, 998, 472]]",2
1725.png,0.007076263427734375,141,person,person,person,person,,,,,"[[783, 199, 882, 411], [281, 285, 431, 644], [865, 128, 999, 469], [273, 69, 403, 414]]",4
1726.png,0.008139848709106445,122,person,person,person,person,,,,,"[[264, 198, 421, 646], [783, 201, 880, 409], [869, 127, 997, 475], [445, 173, 595, 537]]",4
