,cost time,FPS,1,2,3,4,5,6,7,8,coordinate,len
2052.png,0.008104801177978516,123,person,person,person,person,,,,,"[[825, 60, 1265, 1037], [1286, 287, 1494, 968], [1642, 279, 1826, 951], [580, 303, 788, 945]]",4
2053.png,0.008063316345214844,124,person,person,person,person,,,,,"[[805, 88, 1222, 995], [1287, 284, 1496, 965], [1640, 278, 1828, 954], [576, 302, 782, 949]]",4
2054.png,0.008040666580200195,124,person,person,person,person,,,,,"[[819, 53, 1212, 1012], [1287, 286, 1499, 962], [1641, 281, 1828, 952], [571, 301, 793, 950]]",4
2055.png,0.008011579513549805,124,person,person,person,person,,,,,"[[829, 54, 1206, 999], [1284, 301, 1504, 958], [1638, 279, 1830, 953], [574, 297, 806, 953]]",4
2056.png,0.008071422576904297,123,person,person,person,person,,,,,"[[831, 75, 1194, 976], [1282, 306, 1496, 975], [1635, 279, 1836, 965], [576, 326, 781, 954]]",4
2057.png,0.008429765701293945,118,person,person,person,person,,,,,"[[832, 78, 1193, 970], [1281, 299, 1496, 974], [570, 328, 797, 945], [1640, 285, 1831, 961]]",4
2058.png,0.0073413848876953125,136,person,person,person,person,,,,,"[[846, 71, 1247, 998], [1283, 301, 1500, 985], [1638, 287, 1829, 972], [571, 327, 804, 958]]",4
2059.png,0.00836181640625,119,person,person,person,person,,,,,"[[853, 76, 1239, 987], [1290, 312, 1507, 978], [1634, 291, 1831, 974], [573, 328, 800, 958]]",4
2060.png,0.008501768112182617,117,person,person,person,person,,,,,"[[848, 81, 1250, 991], [1296, 311, 1512, 985], [1634, 295, 1829, 974], [573, 328, 783, 949]]",4
2061.png,0.008344888687133789,119,person,person,person,person,,,,,"[[896, 96, 1200, 981], [1298, 302, 1510, 998], [1639, 294, 1831, 967], [586, 326, 790, 955]]",4
2062.png,0.00873255729675293,114,person,person,person,person,,,,,"[[903, 78, 1190, 997], [1300, 303, 1507, 999], [1639, 293, 1829, 968], [589, 318, 796, 968]]",4
2063.png,0.0084228515625,118,person,person,person,person,,,,,"[[901, 79, 1195, 990], [1300, 307, 1509, 997], [1641, 296, 1827, 966], [584, 319, 797, 970]]",4
2064.png,0.008402585983276367,119,person,person,person,person,,,,,"[[907, 73, 1194, 1005], [1299, 309, 1507, 989], [1639, 299, 1828, 960], [587, 320, 797, 972]]",4
2065.png,0.008304119110107422,120,person,person,person,person,,,,,"[[907, 73, 1194, 1005], [1299, 309, 1507, 989], [1639, 299, 1828, 960], [587, 320, 797, 972]]",4
2066.png,0.008349418640136719,119,person,person,person,person,,,,,"[[907, 75, 1195, 1015], [1316, 321, 1524, 1023], [1640, 298, 1827, 961], [588, 316, 798, 980]]",4
2067.png,0.008590936660766602,116,person,person,person,person,,,,,"[[900, 82, 1199, 1003], [1316, 333, 1534, 1012], [1638, 300, 1824, 973], [585, 313, 800, 983]]",4
2068.png,0.008466482162475586,118,person,person,person,person,,,,,"[[902, 82, 1193, 1002], [1310, 329, 1538, 1016], [1634, 300, 1827, 979], [584, 317, 799, 981]]",4
2069.png,0.008222341537475586,121,person,person,person,person,,,,,"[[899, 83, 1196, 996], [1309, 330, 1534, 1015], [584, 314, 800, 982], [1633, 299, 1825, 976]]",4
2070.png,0.00836944580078125,119,person,person,person,person,,,,,"[[1306, 328, 1531, 1017], [893, 79, 1200, 992], [1633, 302, 1827, 973], [580, 313, 795, 979]]",4
2071.png,0.008421659469604492,118,person,person,person,person,,,,,"[[889, 84, 1204, 991], [1298, 313, 1535, 988], [573, 315, 787, 977], [1629, 306, 1826, 973]]",4
2072.png,0.008367061614990234,119,person,person,person,person,,,,,"[[873, 78, 1217, 1001], [1293, 330, 1529, 1012], [1619, 310, 1827, 975], [572, 321, 778, 972]]",4
2073.png,0.017085552215576172,58,person,person,person,person,,,,,"[[1293, 326, 1529, 1016], [860, 79, 1229, 998], [566, 321, 775, 971], [1614, 312, 1824, 972]]",4
2074.png,0.008569478988647461,116,person,person,person,person,,,,,"[[1291, 327, 1532, 1015], [860, 82, 1231, 1000], [568, 327, 788, 970], [1618, 316, 1823, 974]]",4
2075.png,0.008397340774536133,119,person,person,person,person,,,,,"[[1293, 332, 1530, 1012], [857, 86, 1236, 1002], [575, 327, 792, 979], [1620, 321, 1825, 972]]",4
2076.png,0.008776426315307617,113,person,person,person,person,,,,,"[[1288, 336, 1535, 1010], [830, 110, 1188, 995], [576, 333, 802, 974], [1620, 326, 1830, 972]]",4
2077.png,0.00808858871459961,123,person,person,person,,,,,,"[[809, 117, 1207, 1079], [1213, 229, 1577, 1039], [396, 165, 694, 1044]]",3
2078.png,0.008188962936401367,122,person,person,person,,,,,,"[[400, 153, 695, 1053], [804, 123, 1202, 1071], [1213, 231, 1573, 1038]]",3
2079.png,0.008071422576904297,123,person,person,person,,,,,,"[[401, 143, 688, 1063], [800, 125, 1197, 1069], [1216, 236, 1563, 1039]]",3
2080.png,0.008054494857788086,124,person,person,person,,,,,,"[[803, 130, 1188, 1066], [398, 138, 685, 1068], [1215, 236, 1554, 1038]]",3
2081.png,0.008238554000854492,121,person,person,person,,,,,,"[[798, 138, 1179, 1062], [390, 142, 669, 1068], [1206, 234, 1556, 1041]]",3
2082.png,0.008278846740722656,120,person,person,person,,,,,,"[[795, 137, 1155, 1057], [365, 151, 651, 1060], [1193, 238, 1549, 1032]]",3
2083.png,0.008382558822631836,119,person,person,person,,,,,,"[[789, 140, 1145, 1052], [1188, 241, 1548, 1032], [352, 147, 643, 1064]]",3
2084.png,0.00754237174987793,132,person,person,person,,,,,,"[[781, 138, 1139, 1056], [1180, 233, 1551, 1036], [345, 145, 642, 1072]]",3
2085.png,0.008187294006347656,122,person,person,person,,,,,,"[[775, 138, 1129, 1051], [1174, 226, 1551, 1037], [346, 139, 647, 1075]]",3
2086.png,0.008105278015136719,123,person,person,person,,,,,,"[[773, 134, 1123, 1052], [1171, 226, 1549, 1035], [339, 131, 654, 1076]]",3
2087.png,0.008218526840209961,121,person,person,person,,,,,,"[[766, 141, 1108, 1044], [1173, 223, 1551, 1035], [340, 120, 646, 1079]]",3
2088.png,0.008191585540771484,122,person,person,person,,,,,,"[[770, 142, 1104, 1044], [1177, 225, 1550, 1037], [341, 124, 645, 1079]]",3
2089.png,0.008160591125488281,122,person,person,person,,,,,,"[[770, 142, 1104, 1044], [1177, 225, 1550, 1037], [341, 124, 645, 1079]]",3
2090.png,0.00828862190246582,120,person,person,person,,,,,,"[[765, 140, 1105, 1047], [1135, 225, 1501, 1024], [338, 125, 646, 1079]]",3
2091.png,0.007620334625244141,131,person,person,person,,,,,,"[[766, 140, 1106, 1048], [1134, 223, 1502, 1029], [338, 128, 645, 1079]]",3
2092.png,0.008151531219482422,122,person,person,person,,,,,,"[[770, 130, 1108, 1058], [348, 132, 648, 1076], [1192, 227, 1555, 1040]]",3
2093.png,0.008155345916748047,122,person,person,person,,,,,,"[[778, 124, 1121, 1066], [1202, 234, 1557, 1040], [357, 130, 652, 1076]]",3
2094.png,0.008187055587768555,122,person,person,person,,,,,,"[[779, 121, 1128, 1069], [1201, 234, 1558, 1040], [364, 132, 656, 1074]]",3
2095.png,0.008132219314575195,122,person,person,person,,,,,,"[[783, 126, 1131, 1063], [1201, 233, 1559, 1037], [369, 136, 658, 1074]]",3
2096.png,0.008096694946289062,123,person,person,person,,,,,,"[[784, 126, 1136, 1066], [1202, 235, 1560, 1036], [370, 137, 662, 1074]]",3
2097.png,0.0074863433837890625,133,person,person,person,,,,,,"[[784, 126, 1135, 1067], [1208, 234, 1558, 1037], [374, 142, 660, 1075]]",3
2098.png,0.008111715316772461,123,person,person,person,,,,,,"[[785, 117, 1141, 1073], [1217, 233, 1556, 1040], [377, 140, 671, 1072]]",3
2099.png,0.00805044174194336,124,person,person,person,,,,,,"[[789, 114, 1143, 1076], [1218, 233, 1556, 1040], [375, 140, 675, 1072]]",3
2100.png,0.008085489273071289,123,person,person,person,,,,,,"[[790, 117, 1144, 1076], [1217, 232, 1553, 1041], [374, 148, 674, 1071]]",3
2101.png,0.008095741271972656,123,person,person,person,,,,,,"[[792, 123, 1143, 1072], [1217, 235, 1555, 1039], [371, 143, 672, 1074]]",3
2102.png,0.008149862289428711,122,person,person,person,,,,,,"[[790, 116, 1146, 1076], [1215, 234, 1556, 1039], [371, 134, 676, 1079]]",3
2103.png,0.0081024169921875,123,person,person,person,,,,,,"[[789, 117, 1149, 1073], [1207, 234, 1557, 1038], [367, 135, 682, 1070]]",3
2104.png,0.008093118667602539,123,person,person,person,,,,,,"[[784, 119, 1141, 1073], [1206, 236, 1558, 1040], [367, 135, 672, 1068]]",3
2105.png,0.008152008056640625,122,person,person,person,,,,,,"[[784, 116, 1137, 1077], [1211, 232, 1554, 1041], [370, 134, 673, 1070]]",3
2106.png,0.008164644241333008,122,person,person,person,,,,,,"[[785, 113, 1132, 1077], [1214, 229, 1550, 1041], [370, 128, 676, 1076]]",3
2107.png,0.008086681365966797,123,person,person,person,,,,,,"[[783, 108, 1131, 1079], [1212, 226, 1545, 1042], [372, 126, 670, 1076]]",3
2108.png,0.008044958114624023,124,person,person,person,,,,,,"[[784, 112, 1122, 1076], [1200, 225, 1546, 1041], [369, 125, 664, 1079]]",3
2109.png,0.008396148681640625,119,person,person,person,,,,,,"[[779, 107, 1120, 1079], [1194, 220, 1548, 1041], [364, 129, 664, 1075]]",3
2110.png,0.008044958114624023,124,person,person,person,,,,,,"[[773, 111, 1112, 1076], [1193, 223, 1546, 1039], [365, 127, 667, 1074]]",3
2111.png,0.008249759674072266,121,person,person,person,,,,,,"[[773, 111, 1111, 1076], [1192, 222, 1551, 1039], [366, 125, 666, 1074]]",3
2112.png,0.008182525634765625,122,person,person,person,,,,,,"[[776, 116, 1107, 1074], [1193, 226, 1549, 1036], [367, 128, 665, 1072]]",3
2113.png,0.00804591178894043,124,person,person,person,,,,,,"[[776, 116, 1107, 1074], [1193, 226, 1549, 1036], [367, 128, 665, 1072]]",3
2114.png,0.008002042770385742,124,person,person,person,,,,,,"[[772, 119, 1102, 1071], [1196, 227, 1547, 1039], [359, 131, 665, 1070]]",3
2115.png,0.008097171783447266,123,person,person,person,,,,,,"[[768, 123, 1097, 1068], [1194, 228, 1544, 1038], [352, 138, 663, 1062]]",3
2116.png,0.008259773254394531,121,person,person,person,,,,,,"[[768, 124, 1100, 1067], [1191, 230, 1547, 1037], [353, 138, 663, 1063]]",3
2117.png,0.008097171783447266,123,person,person,person,,,,,,"[[770, 124, 1103, 1066], [1190, 227, 1550, 1036], [348, 139, 671, 1064]]",3
2118.png,0.008076906204223633,123,person,person,person,,,,,,"[[767, 127, 1102, 1062], [1185, 229, 1553, 1034], [344, 143, 671, 1057]]",3
2119.png,0.008090734481811523,123,person,person,person,,,,,,"[[763, 126, 1102, 1062], [1140, 212, 1492, 1030], [345, 145, 663, 1064]]",3
2120.png,0.008055925369262695,124,person,person,person,,,,,,"[[758, 128, 1099, 1060], [1143, 214, 1491, 1030], [344, 144, 656, 1065]]",3
2121.png,0.008073806762695312,123,person,person,person,,,,,,"[[764, 126, 1097, 1062], [1143, 215, 1491, 1028], [346, 141, 655, 1065]]",3
2122.png,0.007311582565307617,136,person,person,person,,,,,,"[[760, 125, 1095, 1063], [1143, 216, 1490, 1026], [344, 143, 652, 1066]]",3
2123.png,0.008077859878540039,123,person,person,person,,,,,,"[[758, 125, 1095, 1064], [1177, 224, 1544, 1035], [346, 147, 653, 1069]]",3
2124.png,0.008497476577758789,117,person,person,person,,,,,,"[[1171, 227, 1547, 1036], [756, 121, 1095, 1066], [346, 140, 644, 1078]]",3
2125.png,0.008313655853271484,120,person,person,person,,,,,,"[[1170, 225, 1546, 1036], [755, 123, 1095, 1065], [343, 146, 645, 1076]]",3
2126.png,0.008128166198730469,123,person,person,person,,,,,,"[[1173, 225, 1541, 1034], [752, 122, 1097, 1066], [344, 143, 639, 1073]]",3
2127.png,0.008400201797485352,119,person,person,person,,,,,,"[[1143, 217, 1492, 1031], [753, 126, 1098, 1061], [346, 150, 637, 1069]]",3
2128.png,0.008302927017211914,120,person,person,person,,,,,,"[[1144, 221, 1492, 1030], [751, 125, 1096, 1061], [342, 151, 633, 1064]]",3
2129.png,0.008111715316772461,123,person,person,person,,,,,,"[[1144, 222, 1490, 1027], [746, 130, 1100, 1056], [338, 146, 636, 1069]]",3
2130.png,0.008031845092773438,124,person,person,person,,,,,,"[[1144, 225, 1489, 1028], [743, 136, 1104, 1050], [339, 141, 629, 1071]]",3
2131.png,0.008156061172485352,122,person,person,person,,,,,,"[[1146, 227, 1488, 1026], [742, 137, 1104, 1049], [341, 143, 631, 1069]]",3
2132.png,0.007939577102661133,125,person,person,person,,,,,,"[[1145, 225, 1488, 1027], [743, 138, 1105, 1048], [337, 150, 631, 1063]]",3
2133.png,0.008118391036987305,123,person,person,person,,,,,,"[[1144, 224, 1490, 1027], [744, 137, 1102, 1051], [339, 142, 630, 1071]]",3
2134.png,0.008181333541870117,122,person,person,person,,,,,,"[[1142, 220, 1492, 1027], [747, 135, 1100, 1052], [341, 142, 630, 1070]]",3
2135.png,0.008469581604003906,118,person,person,person,,,,,,"[[1142, 215, 1492, 1033], [747, 131, 1096, 1056], [341, 137, 625, 1072]]",3
2136.png,0.00820469856262207,121,person,person,person,,,,,,"[[1160, 224, 1549, 1031], [743, 125, 1096, 1059], [338, 143, 627, 1066]]",3
