,cost time,FPS,1,2,3,4,5,coordinate,len
134.png,0.007890462875366211,126,car,car,person,,,"[[552, 440, 856, 536], [228, 438, 476, 543], [660, 581, 896, 956]]",3
135.png,0.00790095329284668,126,car,car,person,,,"[[228, 437, 477, 544], [552, 443, 857, 535], [703, 552, 887, 859]]",3
136.png,0.008119344711303711,123,car,car,person,,,"[[228, 437, 477, 544], [552, 443, 857, 535], [703, 552, 887, 859]]",3
137.png,0.00798940658569336,125,car,car,person,,,"[[546, 442, 855, 536], [224, 435, 476, 547], [676, 540, 897, 899]]",3
138.png,0.007891178131103516,126,car,car,person,,,"[[540, 443, 855, 537], [221, 433, 466, 547], [689, 527, 894, 913]]",3
139.png,0.008179903030395508,122,car,car,person,,,"[[212, 434, 467, 547], [540, 444, 845, 536], [678, 577, 890, 965]]",3
140.png,0.00815129280090332,122,car,car,person,,,"[[539, 442, 848, 535], [210, 435, 458, 546], [681, 577, 886, 961]]",3
141.png,0.008005857467651367,124,car,car,person,,,"[[546, 443, 836, 535], [215, 433, 448, 547], [677, 557, 882, 978]]",3
142.png,0.008252382278442383,121,car,car,person,person,,"[[548, 455, 833, 563], [219, 430, 441, 548], [667, 525, 893, 946], [859, 447, 963, 630]]",4
143.png,0.008181333541870117,122,car,car,person,,,"[[555, 448, 840, 566], [221, 432, 440, 546], [662, 508, 900, 963]]",3
144.png,0.008038520812988281,124,car,person,person,,,"[[547, 455, 830, 556], [663, 505, 893, 971], [865, 442, 972, 640]]",3
145.png,0.008188009262084961,122,car,person,person,,,"[[548, 455, 830, 556], [663, 505, 892, 970], [864, 442, 972, 641]]",3
146.png,0.007987499237060547,125,car,person,,,,"[[526, 456, 843, 556], [644, 504, 897, 969]]",2
147.png,0.007963895797729492,125,car,person,person,,,"[[522, 453, 844, 561], [646, 509, 904, 967], [951, 444, 1055, 608]]",3
148.png,0.007945060729980469,125,car,person,,,,"[[525, 446, 854, 567], [673, 580, 870, 972]]",2
149.png,0.008026599884033203,124,car,car,person,,,"[[518, 445, 864, 570], [67, 446, 430, 568], [1014, 450, 1096, 624]]",3
150.png,0.007691383361816406,130,car,car,person,,,"[[517, 448, 854, 567], [63, 447, 425, 570], [665, 585, 872, 976]]",3
151.png,0.008103132247924805,123,car,car,person,,,"[[512, 449, 842, 567], [69, 446, 415, 570], [659, 564, 876, 975]]",3
152.png,0.007532358169555664,132,car,car,person,,,"[[500, 448, 834, 569], [79, 448, 416, 566], [665, 559, 889, 988]]",3
153.png,0.007334232330322266,136,car,car,person,,,"[[488, 449, 846, 569], [79, 443, 421, 573], [655, 544, 884, 992]]",3
154.png,0.007972478866577148,125,car,car,person,,,"[[492, 449, 851, 568], [74, 444, 425, 575], [648, 550, 883, 990]]",3
